antibiotic,CDS
meropenem,NZ_BSAL01000001.1_83
meropenem,NZ_BSAL01000001.1_86
meropenem,NZ_BSAL01000004.1_315
meropenem,NZ_BSAL01000008.1_35
meropenem,NZ_BSAL01000010.1_41
meropenem,NZ_BSAL01000017.1_1
meropenem,NZ_BSAL01000021.1_84
meropenem,NZ_BSAL01000040.1_55
meropenem,NZ_BSAL01000040.1_56
meropenem,NZ_BSAL01000040.1_58
meropenem,NZ_BSAL01000049.1_29
meropenem,NZ_BSAL01000075.1_1
meropenem,NZ_BSAM01000002.1_222
meropenem,NZ_BSAM01000002.1_234
meropenem,NZ_BSAM01000002.1_235
meropenem,NZ_BSAM01000005.1_53
meropenem,NZ_BSAM01000005.1_65
meropenem,NZ_BSAM01000010.1_13
meropenem,NZ_BSAM01000010.1_14
meropenem,NZ_BSAM01000010.1_15
meropenem,NZ_BSAM01000010.1_5
meropenem,NZ_BSAM01000010.1_6
meropenem,NZ_BSAM01000010.1_8
meropenem,NZ_BSAM01000039.1_66
meropenem,NZ_BSAM01000040.1_18
meropenem,NZ_BSAM01000040.1_19
meropenem,NZ_BSAM01000068.1_12
meropenem,NZ_BSAM01000096.1_3
meropenem,NZ_BSAN01000022.1_90
meropenem,NZ_BSAO01000004.1_188
meropenem,NZ_BSAO01000004.1_240
meropenem,NZ_BSAO01000004.1_47
meropenem,NZ_BSAO01000004.1_51
meropenem,NZ_BSAO01000004.1_83
meropenem,NZ_BSAO01000030.1_50
meropenem,NZ_BSAQ01000007.1_32
meropenem,NZ_BSAQ01000007.1_35
meropenem,NZ_BSAQ01000007.1_36
meropenem,NZ_BSAQ01000007.1_51
meropenem,NZ_BSAQ01000007.1_52
meropenem,NZ_BSAQ01000007.1_53
meropenem,NZ_BSAS01000029.1_6
meropenem,NZ_BSAS01000029.1_85
meropenem,NZ_BSAS01000033.1_68
meropenem,NZ_BSAS01000138.1_1
meropenem,NZ_BSAT01000002.1_200
meropenem,NZ_BSAT01000002.1_220
meropenem,NZ_BSAT01000040.1_3
meropenem,NZ_BSAX01000002.1_5
meropenem,NZ_BSAX01000039.1_51
meropenem,NZ_BSAX01000057.1_18
meropenem,NZ_BSAX01000061.1_10
meropenem,NZ_BSAZ01000014.1_164
meropenem,NZ_BSBA01000002.1_184
meropenem,NZ_BSBA01000006.1_87
meropenem,NZ_BSBA01000006.1_95
meropenem,NZ_BSBA01000028.1_54
meropenem,NZ_BSBA01000028.1_55
meropenem,NZ_BSBA01000028.1_56
meropenem,NZ_BSBA01000028.1_57
meropenem,NZ_BSBA01000028.1_58
meropenem,NZ_BSBA01000028.1_71
meropenem,NZ_BSBA01000028.1_74
meropenem,NZ_BSBA01000028.1_76
meropenem,NZ_BSBA01000028.1_79
meropenem,NZ_BSBA01000030.1_47
meropenem,NZ_BSBA01000056.1_3
meropenem,NZ_BSBB01000032.1_1
meropenem,NZ_BSBC01000051.1_1
meropenem,NZ_BSBD01000039.1_28
